Fecha,Bola_1,Bola_2,Bola_3,Bola_4,Bola_5,Bola_6,Loto_Mas,Super_Mas
2026-01-15,4,11,19,22,31,39,12,8
2026-01-18,4,13,15,23,26,29,6,14
2026-01-22,1,3,6,9,25,37,12,2
2026-01-25,1,8,11,20,22,38,6,14
2026-01-29,1,7,8,15,35,40,7,5
2026-02-01,4,9,10,18,32,38,12,1
2026-02-05,2,3,4,6,20,37,5,1
2026-02-08,14,22,27,38,39,40,11,10
2026-02-12,4,7,8,16,21,30,10,4
2026-02-15,10,20,25,29,32,37,6,3
2026-02-19,10,14,26,29,32,36,11,12
